field_name,layer,producer,source_log,type,unit,meaning_claimed,valid_when,missing_representation,forwarded_to,evidence,status,open_question
lat,UM982,Rover NMEA_Parser,GGA,double,độ,Vĩ độ chuyển từ latStr và latDir,Ít nhất 14 dấu phẩy; lat/lon/geoid không rỗng; UTC parse được,Không cập nhật nếu parse thất bại,Rover snapshot; ECEF suy ra → ESP-NOW,esp32-um982-lora/src/functions/NMEA_Parser.cpp:56,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
lon,UM982,Rover NMEA_Parser,GGA,double,độ,Kinh độ chuyển từ lonStr và lonDir,Ít nhất 14 dấu phẩy; lat/lon/geoid không rỗng; UTC parse được,Không cập nhật nếu parse thất bại,Rover snapshot; ECEF suy ra → ESP-NOW,esp32-um982-lora/src/functions/NMEA_Parser.cpp:57,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
height_m,UM982,Rover NMEA_Parser,GGA,double,m,heightStr của GGA; dùng cộng geoid_separation_m,Ít nhất 14 dấu phẩy; lat/lon/geoid không rỗng; UTC parse được,Không kiểm tra chuỗi cao rỗng trước toDouble(),Rover snapshot; ECEF suy ra → ESP-NOW,esp32-um982-lora/src/functions/NMEA_Parser.cpp:58,unknown,Receiver/anten quy chiếu ARP hay điểm khác? Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
geoid_separation_m,UM982,Rover NMEA_Parser,GGA,double,m,Giá trị geoidSeparationStr từ GGA,Ít nhất 14 dấu phẩy; lat/lon/geoid không rỗng; UTC parse được,Chuỗi rỗng làm parse thất bại,Rover snapshot; ECEF suy ra → ESP-NOW,esp32-um982-lora/src/functions/NMEA_Parser.cpp:59,unknown,Receiver/anten quy chiếu ARP hay điểm khác? Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
gnss_time_ms_of_day,UM982,Rover NMEA_Parser,GGA,uint32_t,ms trong ngày,UTC GGA được parse thành mili giây trong ngày; không có ngày,Ít nhất 14 dấu phẩy; lat/lon/geoid không rỗng; UTC parse được,Parse UTC thất bại thì bỏ mẫu,Rover snapshot; ECEF suy ra → ESP-NOW,esp32-um982-lora/src/functions/NMEA_Parser.cpp:60,unknown,Ngày UTC của phiên đo lấy từ đâu? Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
fix_quality,UM982,Rover NMEA_Parser,GGA,String,mã GGA,Giữ rtkStr; snapshot chuyển sang uint8_t,Ít nhất 14 dấu phẩy; lat/lon/geoid không rỗng; UTC parse được,Chuỗi rỗng không bị kiểm tra riêng,Rover snapshot; ECEF suy ra → ESP-NOW,esp32-um982-lora/src/functions/NMEA_Parser.cpp:61,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
satellites,UM982,Rover NMEA_Parser,GGA,String,vệ tinh,Giữ satStr; snapshot chuyển sang uint8_t,Ít nhất 14 dấu phẩy; lat/lon/geoid không rỗng; UTC parse được,Chuỗi rỗng không bị kiểm tra riêng,Debug snapshot/JSON GGA; không có trong ESP-NOW ECEF,esp32-um982-lora/src/functions/NMEA_Parser.cpp:62,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ellipsoidHeightM,UM982,Rover helper,GGA height_m + geoid_separation_m,double,m,Tổng hai giá trị cao trong GGA theo code,parseGGA và geodeticToEcefScaled thành công,Không cập nhật snapshot khi lỗi,geodeticToEcefScaled; debug,esp32-um982-lora/src/helper.cpp:66; esp32-um982-lora/src/helper.cpp:83,unknown,Chưa xác minh mô hình geoid và điểm quy chiếu receiver. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
sequence,ESP-NOW,Rover espnowTrySendRoverEcefStatus,Rover GGA snapshot,uint32_t,số thứ tự,Số thứ tự packet Rover,Đúng header/kích thước; thời gian <86400000; ECEF qua validator; fix <=8,Packet cố định; không null,Relay hoặc Base snapshot,esp32-um982-lora-base/include/RtcmEspNowProtocol.h:81; esp32-um982-lora/src/hardware/Espnow_handler.cpp:911,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
sequence,Relay,Relay_handler,childPacket,uint32_t,số thứ tự,Sao chép nguyên giá trị từ packet Rover,Có Base MAC; packet forwarded qua validator,Không gửi nếu thiếu Base hoặc validator lỗi,Base snapshot,esp32-um982-lora/src/hardware/Relay_handler.cpp:1056,unknown,Cần log direct/relay đối chiếu cùng mẫu. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
gnssTimeMsOfDay,ESP-NOW,Rover espnowTrySendRoverEcefStatus,Rover GGA snapshot,uint32_t,ms trong ngày,Thời gian GGA của Rover,Đúng header/kích thước; thời gian <86400000; ECEF qua validator; fix <=8,Packet cố định; không null,Relay hoặc Base snapshot,esp32-um982-lora-base/include/RtcmEspNowProtocol.h:82; esp32-um982-lora/src/hardware/Espnow_handler.cpp:911,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
gnssTimeMsOfDay,Relay,Relay_handler,childPacket,uint32_t,ms trong ngày,Sao chép nguyên giá trị từ packet Rover,Có Base MAC; packet forwarded qua validator,Không gửi nếu thiếu Base hoặc validator lỗi,Base snapshot,esp32-um982-lora/src/hardware/Relay_handler.cpp:1058,unknown,Cần log direct/relay đối chiếu cùng mẫu. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correctionStreamId,ESP-NOW,Rover espnowTrySendRoverEcefStatus,Rover GGA snapshot,uint16_t,ID,Stream correction trong packet; không phải epoch nguồn của Base,Đúng header/kích thước; thời gian <86400000; ECEF qua validator; fix <=8,Packet cố định; không null,Relay hoặc Base snapshot,esp32-um982-lora-base/include/RtcmEspNowProtocol.h:83; esp32-um982-lora/src/hardware/Espnow_handler.cpp:911,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correctionStreamId,Relay,Relay_handler,childPacket,uint16_t,ID,Sao chép nguyên giá trị từ packet Rover,Có Base MAC; packet forwarded qua validator,Không gửi nếu thiếu Base hoặc validator lỗi,Base snapshot,esp32-um982-lora/src/hardware/Relay_handler.cpp:1059,unknown,Cần log direct/relay đối chiếu cùng mẫu. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
